Subject,ChannelIndex,ROI,ClassLabel,TrainAccuracy,FixationAccuracy,EncodingAccuracy,DelayAccuracy
k12wm013,21,L Postcentral Gyrus,2,0.917,0.444,0.704,0.815
k12wm003,125,R Superior Temporal Gyrus,3,1,0.571,0.857,0.796
k12wm013,110,R Middle Frontal Gyrus,1,1,0.579,0.842,0.789
k12wm013,89,R Superior Temporal Gyrus,3,1,0.697,0.909,0.788
k12wm006,39,L Middle Temporal Gyrus,3,1,0.433,0.907,0.78
k12wm011,150,L Superior Temporal Gyrus,3,0.984,0.369,0.877,0.777
k12wm010,119,Left Cerebral White Matter,3,1,0.774,0.993,0.774
k12wm013,92,R Superior Temporal Gyrus,3,1,0.419,0.903,0.774
k12wm003,124,R Superior Temporal Gyrus,3,1,0.761,0.991,0.769
k12wm007,79,L Fusiform Gyrus,2,1,0.558,0.865,0.769
k12wm006,49,L SupraMarginal Gyrus,2,1,0.245,0.899,0.767
k12wm013,82,R Insula Lobe,2,0.714,0.241,0.552,0.759
k12wm008,39,R Superior Temporal Gyrus,3,1,0.758,0.949,0.758
k12wm007,47,L Insula Lobe,2,0.958,0.377,0.811,0.755
k12wm008,36,R Superior Temporal Gyrus,3,1,0.755,0.987,0.755
k12wm009,47,L Superior Temporal Gyrus,3,0.892,0.462,0.86,0.755
k12wm011,151,L Superior Temporal Gyrus,3,0.97,0.381,0.843,0.754
k12wm008,34,R Insula Lobe,4,1,0.745,0.962,0.752
k12wm009,57,L Superior Temporal Gyrus,4,1,0.745,0.945,0.752
k12wm013,47,L Middle Frontal Gyrus,4,0.938,0.281,0.812,0.75
k12wm013,93,R Fusiform Gyrus,3,0.929,0.429,0.714,0.75
k12wm013,135,R Inferior Temporal Gyrus,1,1,0.75,0.917,0.75
k12wm008,46,R Medial Temporal Pole,3,0.936,0.237,0.808,0.744
k12wm003,31,L Insula Lobe,4,0.926,0.736,0.771,0.743
k12wm013,49,L Middle Frontal Gyrus,2,1,0.452,0.806,0.742
k12wm013,85,R IFG (p Triangularis),3,0.875,0.548,0.742,0.742
k12wm008,35,R Superior Temporal Gyrus,4,1,0.752,0.981,0.739
k12wm010,125,L Superior Temporal Gyrus,4,0.948,0.739,0.865,0.739
k12wm002,46,L Middle Frontal Gyrus,4,0.957,0.5,0.836,0.737
k12wm006,38,L Middle Temporal Gyrus,3,1,0.43,0.868,0.737
k12wm011,144,L Superior Temporal Gyrus,3,1,0.757,0.967,0.737
k12wm013,18,L Postcentral Gyrus,2,0.857,0.263,0.684,0.737
k12wm006,35,L Superior Temporal Gyrus,3,0.973,0.37,0.857,0.734
k12wm010,60,L IFG (p Opercularis),4,1,0.724,0.843,0.731
k12wm010,120,L Superior Temporal Gyrus,3,1,0.769,0.985,0.731
k12wm008,36,R Superior Temporal Gyrus,4,1,0.748,0.943,0.73
k12wm010,83,L IFG (p Opercularis),1,1,0.73,0.858,0.73
k12wm010,63,L Precentral Gyrus,4,0.742,0.746,0.703,0.729
k12wm010,67,L Precentral Gyrus,4,0.886,0.739,0.652,0.728
k12wm003,34,L IFG (p Triangularis),2,0.722,0.284,0.614,0.727
k12wm013,89,R Superior Temporal Gyrus,4,0.944,0.424,0.879,0.727
k12wm003,124,R Superior Temporal Gyrus,4,1,0.744,0.966,0.726
