Subject,ChannelIndex,ROI,TrainAccuracy,ValidationAccuracy,TestAccuracy,ConfusionMatrix,TPR_per_class,TNR_per_class,SI_class1,SI_class2,SI_class3,SI_class4,TestConfusionMatrix,TestTPR_per_class,TestTNR_per_class,p_val_class1,selective_and_sig_class1,p_val_class2,selective_and_sig_class2,p_val_class3,selective_and_sig_class3,p_val_class4,selective_and_sig_class4
k12wm003,45,L Superior Temporal Gyrus,0.739,0.438,0.375,"[[4, 3, 1, 0], [2, 4, 0, 2], [1, 1, 6, 0], [2, 0, 6, 0]]","[0.5, 0.5, 0.75, 0.0]","[0.792, 0.833, 0.708, 0.917]",0.167,0.167,0.556,-1.0,"[[0, 3, 1, 0], [3, 1, 0, 0], [0, 0, 3, 1], [1, 1, 0, 2]]","[0.0, 0.25, 0.75, 0.5]","[0.667, 0.667, 0.917, 0.917]",1.0,False,0.6836,False,0.0508,True,0.2617,False
k12wm003,124,R Superior Temporal Gyrus,0.918,0.591,0.6,"[[2, 3, 0, 0], [1, 4, 0, 1], [0, 0, 5, 0], [0, 0, 4, 2]]","[0.4, 0.667, 1.0, 0.333]","[0.941, 0.812, 0.765, 0.937]",-0.4,0.134,0.533,-0.517,"[[3, 0, 0, 0], [1, 0, 0, 0], [0, 0, 2, 0], [0, 0, 3, 1]]","[1.0, 0.0, 1.0, 0.25]","[0.857, 1.0, 0.625, 1.0]",0.0156,False,1.0,False,0.0625,True,0.6836,False
k12wm007,46,L Insula Lobe,0.632,0.455,0.5,"[[2, 1, 0, 0], [1, 2, 0, 0], [2, 0, 0, 1], [1, 0, 0, 1]]","[0.667, 0.667, 0.0, 0.5]","[0.5, 0.875, 1.0, 0.889]",0.417,0.417,-1.0,0.111,"[[0, 1, 0, 0], [1, 0, 0, 0], [0, 0, 1, 1], [0, 0, 0, 2]]","[0.0, 0.0, 0.5, 1.0]","[0.8, 0.8, 1.0, 0.75]",1.0,False,1.0,False,0.4375,False,0.0625,True
k12wm008,34,R Insula Lobe,0.9,0.452,0.312,"[[2, 2, 2, 2], [2, 3, 1, 1], [1, 2, 2, 3], [0, 0, 1, 7]]","[0.25, 0.429, 0.25, 0.875]","[0.87, 0.833, 0.826, 0.739]",-0.517,-0.064,-0.517,0.646,"[[0, 2, 0, 2], [3, 1, 0, 0], [0, 0, 1, 3], [0, 0, 1, 3]]","[0.0, 0.25, 0.25, 0.75]","[0.75, 0.833, 0.917, 0.583]",1.0,False,0.6836,False,0.6836,False,0.0508,True
k12wm008,35,R Superior Temporal Gyrus,0.836,0.516,0.438,"[[1, 6, 1, 0], [1, 5, 0, 1], [0, 1, 4, 3], [0, 0, 2, 6]]","[0.125, 0.714, 0.5, 0.75]","[0.957, 0.708, 0.87, 0.826]",-0.809,0.358,-0.056,0.405,"[[1, 2, 0, 1], [4, 0, 0, 0], [1, 0, 2, 1], [0, 0, 0, 4]]","[0.25, 0.0, 0.5, 1.0]","[0.583, 0.833, 1.0, 0.833]",0.6836,False,1.0,False,0.2617,False,0.0039,True
k12wm008,36,R Superior Temporal Gyrus,0.847,0.5,0.438,"[[3, 1, 2, 2], [1, 4, 1, 2], [0, 0, 7, 1], [2, 2, 2, 2]]","[0.375, 0.5, 0.875, 0.25]","[0.875, 0.875, 0.792, 0.792]",-0.308,0.0,0.571,-0.571,"[[1, 2, 0, 1], [3, 0, 0, 1], [0, 0, 4, 0], [0, 1, 1, 2]]","[0.25, 0.0, 1.0, 0.5]","[0.75, 0.75, 0.917, 0.833]",0.6836,False,1.0,False,0.0039,True,0.2617,False
k12wm008,39,R Superior Temporal Gyrus,0.673,0.419,0.25,"[[4, 2, 1, 1], [1, 5, 1, 1], [0, 1, 0, 6], [1, 1, 2, 4]]","[0.5, 0.625, 0.0, 0.5]","[0.913, 0.826, 0.833, 0.652]",0.25,0.467,-1.0,0.25,"[[1, 1, 0, 2], [3, 0, 1, 0], [1, 0, 0, 3], [0, 0, 1, 3]]","[0.25, 0.0, 0.0, 0.75]","[0.667, 0.917, 0.833, 0.583]",0.6836,False,1.0,False,1.0,False,0.0508,True
k12wm008,41,R Insula Lobe,0.748,0.419,0.533,"[[4, 1, 2, 1], [5, 1, 0, 1], [1, 1, 4, 2], [3, 1, 0, 4]]","[0.5, 0.143, 0.5, 0.5]","[0.609, 0.875, 0.913, 0.826]",0.238,-0.714,0.238,0.238,"[[0, 1, 1, 1], [0, 3, 1, 0], [0, 1, 3, 0], [0, 1, 1, 2]]","[0.0, 0.75, 0.75, 0.5]","[1.0, 0.727, 0.727, 0.909]",1.0,False,0.0508,False,0.0508,True,0.2617,False
k12wm009,47,L Superior Temporal Gyrus,0.825,0.423,0.5,"[[1, 4, 0, 1], [3, 2, 0, 2], [0, 0, 4, 2], [0, 1, 2, 4]]","[0.167, 0.286, 0.667, 0.571]","[0.85, 0.737, 0.9, 0.737]",-0.671,-0.389,0.488,0.346,"[[2, 1, 0, 0], [0, 0, 2, 2], [0, 0, 4, 0], [1, 0, 1, 1]]","[0.667, 0.0, 1.0, 0.333]","[0.909, 0.9, 0.7, 0.818]",0.1562,False,1.0,False,0.0039,True,0.5781,False
k12wm009,57,L Superior Temporal Gyrus,0.902,0.414,0.643,"[[1, 5, 0, 1], [0, 5, 1, 1], [1, 0, 2, 4], [3, 0, 1, 4]]","[0.143, 0.714, 0.286, 0.5]","[0.818, 0.773, 0.909, 0.714]",-0.714,0.566,-0.368,0.238,"[[2, 0, 0, 1], [2, 2, 0, 0], [0, 0, 2, 2], [0, 0, 0, 3]]","[0.667, 0.5, 0.5, 1.0]","[0.818, 1.0, 1.0, 0.727]",0.1562,False,0.2617,False,0.2617,False,0.0156,True
k12wm010,82,L IFG (p Opercularis),0.673,0.462,0.5,"[[6, 0, 1, 1], [1, 2, 0, 2], [2, 2, 1, 2], [1, 0, 2, 3]]","[0.75, 0.4, 0.143, 0.5]","[0.778, 0.905, 0.842, 0.75]",0.536,-0.139,-0.74,0.138,"[[2, 0, 0, 1], [1, 0, 0, 1], [2, 0, 1, 0], [0, 1, 0, 3]]","[0.667, 0.0, 0.333, 0.75]","[0.667, 0.9, 1.0, 0.75]",0.1562,True,1.0,False,0.5781,False,0.0508,True
